Viscosity,Torque
72.91, 8689
72.91, 8699
72.91, 86B3
72.91, 8687
159.60, 884D
159.60, 884D
159.60, 8839
159.60, 880B
386.2, 8DE6
386.2, 8E39
386.2, 8E60
386.2, 8DEC
657.1, 9663
657.1, 964F
657.1, 967B
657.1, 9627
1092, A198
1092, A0BC
1092, A3BC
1092, A355
