Viscosity,Torque
159.6, 892F
159.6, 88EC
159.6, 8846
214.6, 8A5F
214.6, 8A38
386.2, 8E69
386.2, 8E39
386.2, 8E2B
386.2, 8F00
657.1, 9703
657.1, 95F6
1092.0, A459
