Viscosity,Torque
50.28, 857B
50.28, 8588
50.28, 857A
93.71, 86F3
93.71, 86AA
93.71, 86D3
159.60, 889A
159.60, 8888
159.60, 8860
260.80, 8B9B
260.80, 8B7D
260.80, 8BEA
377.50, 8E40
377.50, 8E98
377.50, 8EA1
657.10, 9754
657.10, 961B
657.10, 970C
722.70, 9993
722.70, 9891
722.70, 980A
1414.00, B04E
1414.00, A9E5
1414.00, A908
