170,771.90,75.00,167.00,S8000
171,3.89,75.00,167.00,N10
172,14.55,30.00,86.00,N10
173,51.00,30.00,86.00,N35
174,9.78,75.00,167.00,N35
175,22.45,75.00,167.00,N100
176,171.00,30.00,86.00,N100
177,533.00,30.00,86.00,N350
178,71.30,75.00,167.00,N350
179,408.00,75.00,167.00,N4000
180,7336.00,30.00,86.00,N4000
181,1741.00,-40.00,-40.00,N14
182,9869.00,-40.00,-40.00,CL130
183,1214.00,-20.00,-4.00,CL130
184,1850.00,-20.00,-4.00,CL150
185,2.60,25.00,77.00,N2.0
186,1.20,25.00,77.00,N1.0
187,3.30,-30.00,-22.00,N1.0
188,12.00,-30.00,-22.00,N2B
189,3161.00,-30.00,-22.00,CL130
190,584.00,-30.00,-22.00,CL080
191,877.00,-30.00,-22.00,CL090
192,1230.00,-30.00,-22.00,CL100
